"Site","Latitude","Longitude","Elevation","Region","lambda.slope.decline","lambda.slope.recovery","lambda.mean.drought","lambda.mean.recovery"
"Coast Fork of Williamette",43.6517,-123.088,254,"N2",-0.778498715787644,1.12022565856796,2.00418237037831,1.5573287261168
"Canton Creek",43.4137,-122.7804,503,"N2",-1.42796028945766,-0.198639430389396,1.16723834505875,0.736606768144318
"Rock Creek",43.37876,-122.9521,295,"N2",0.0034770098932247,0.186227178091976,0.341379801725547,1.71298191269776
"O'Neil Creek",41.80979,-123.1189,487,"N1",0.369247123075819,-0.567344363488277,1.24704710278556,1.21601161809178
"Deep Creek",41.66546,-123.1134,694,"N1",0.0813581044828866,0.22802887679292,1.39539225357211,0.842052303475327
"Little Jameson Creek",39.74298,-120.704,1592,"C3",-0.0987998997126195,0.0484983344215022,0.834500295850384,0.830696852462217
"Oregon Creek",39.39704,-121.082,448,"C3",-0.0814908000203008,0.616173669890232,1.29679337990146,1.70913434923393
"Rainbow Pool",37.81878,-120.0073,833,"C2",-0.0780580000458569,1.21913360461635,0.796388142415734,2.28952117931431
"Carlon",37.81006,-119.8568,1320,"C2",0.0637169518891039,1.1694948479008,1.0328272919733,1.07197654938257
"Buck Meadows",37.77722,-120.0633,830,"C2",-0.179769783591792,-18.7196818509972,0.525904381570207,5.05675638682154
"Wawona",37.53822,-119.6514,1208,"C2",-0.0590173507725097,-0.324861483258437,0.872699268559548,1.29648320901556
"Redwood Creek",36.68952,-118.9096,1677,"C1",-0.121771778881791,-6.03089887942351,0.707420294935745,2.22581698379722
"North Fork Middle Fork Tule",36.20081,-118.6509,1284,"C1",0.0426827740878733,-0.273817981411302,1.06249038754335,0.924451995952548
"South Fork Middle Fork Tule",36.13756,-118.5741,1664,"C1",-0.380070827173412,-1.27631170654043,1.28149891230853,1.69323374701672
"West Fork Mojave River",34.28425,-117.3754,1087,"S2",-0.0192125867189993,-0.385658398686682,0.7109379874198,1.15779400717642
"Whitewater Canyon",33.99329,-116.6627,696,"S2",-0.0334828953360892,0,0,0
"Sweetwater River",32.89913,-116.5865,1386,"S1",-0.0246030001859103,-4.66730634211413,0.430947124706439,1.88083501364835
"Kitchen Creek",32.75206,-116.4522,1173,"S1",-0.237684057992904,0,0,0
"Hauser Creek",32.65822,-116.5323,788,"S1",-0.0411139686456932,0.584396896016412,0,0
