Site,pi_snp_set,pi_all_snps
1,0.2979604674267101,0.24482679118619205
2,0.256532842019544,0.2263302012767523
3,0.321151013029316,0.16195011515517616
4,0.3348535846905539,0.16561302970747685
5,0.2881124006514658,0.1838340156637377
6,0.3383850732899023,0.13872662048219025
7,0.2576681807817589,0.16182890895381138
8,0.23446945439739417,0.1200245312132376
9,0.309978519543974,0.1483742668636126
10,0.28604488762214986,0.13715965191311838
11,0.3280473061889251,0.19320407816024185
12,0.16764958957654738,0.13420152172422575
